10:23:05  | phuongaz | /togglep all
04:39:58  | phuongaz | /give phuongaz lodestone
04:40:31  | phuongaz | /give phuongaz observer
04:41:41  | phuongaz | /give phuongaz smithing_table
04:44:06  | phuongaz | /give phuongaz 245
04:53:29  | phuongaz | /wp banitem 245
04:53:36  | phuongaz | //set 0
04:54:44  | phuongaz | /stop
04:56:11  | phuongaz | //set 0
05:08:00  | phuongaz | //set 0
05:08:15  | phuongaz | /stop
05:09:41  | phuongaz | //set 0
05:12:32  | phuongaz | //set 0
05:13:11  | phuongaz | //id
05:14:13  | phuongaz | //set 0
05:14:43  | phuongaz | /gamemode 0
05:14:51  | phuongaz | /gamemode 1
05:17:09  | phuongaz | //set 0
05:17:15  | phuongaz | /save-all
06:55:56  | TuiLaAj | /ssp
06:56:58  | TuiLaAj | /ssp
06:57:17  | TuiLaAj | /lcoinshop
06:58:09  | TuiLaAj | /is
07:04:09  | TuiLaAj | /is 
07:04:22  | TuiLaAj | /is
07:07:15  | TuiLaAj | /is
07:24:06  | phuongaz | /gamemode 0
07:24:37  | phuongaz | /fly
07:25:09  | phuongaz | /whitelist on
07:25:16  | phuongaz | /kick fun
07:25:23  | phuongaz | /hub
07:33:05  | phuongaz | /gmc
07:43:10  | phuongaz | /text
07:43:14  | phuongaz | /text
07:43:22  | phuongaz | /text asc
07:44:36  | phuongaz | /text
07:44:43  | phuongaz | /text
07:44:46  | phuongaz | /text as
07:46:44  | phuongaz | /clearinventory
07:47:51  | phuongaz | /text
07:47:53  | phuongaz | /text
07:47:56  | phuongaz | /text
07:48:00  | phuongaz | /text
07:48:03  | phuongaz | /text
07:48:10  | phuongaz | /text
07:48:13  | phuongaz | /text
07:48:18  | phuongaz | /text
07:48:21  | phuongaz | /text
07:48:40  | phuongaz | /text
07:48:43  | phuongaz | /text
07:48:45  | phuongaz | /text
07:48:48  | phuongaz | /text
07:48:50  | phuongaz | /text
07:48:53  | phuongaz | /text
07:48:56  | phuongaz | /text
07:48:59  | phuongaz | /text
07:49:01  | phuongaz | /text
07:49:25  | phuongaz | /text
07:49:27  | phuongaz | /text
07:49:30  | phuongaz | /text
07:49:33  | phuongaz | /text
07:49:37  | phuongaz | /text
07:49:40  | phuongaz | /text
07:49:43  | phuongaz | /text
07:49:46  | phuongaz | /text
07:49:49  | phuongaz | /text
07:50:06  | phuongaz | /text
07:50:08  | phuongaz | /text
07:50:11  | phuongaz | /text
07:50:13  | phuongaz | /text
07:50:17  | phuongaz | /text
07:50:20  | phuongaz | /text'
07:50:23  | phuongaz | /text
07:50:25  | phuongaz | /text ca
07:51:23  | phuongaz | //id
07:51:30  | phuongaz | /id
07:51:32  | phuongaz | //id
07:51:46  | phuongaz | //id
07:54:19  | idolbminh | /tp phuongaz 
08:24:41  | phuongaz | /setmoney phuongaz 10000
08:36:19  | phuongaz | /wp lock
08:36:22  | phuongaz | /pvp
08:36:26  | phuongaz | /wp banitem 245
08:36:28  | phuongaz | /hub
08:37:09  | phuongaz | /toplcoin
08:37:21  | phuongaz | /toplcoin
08:37:58  | phuongaz | /toplcoin
08:38:07  | phuongaz | /toplcoin
14:39:25  | TigerVN5928 | /lobby
14:42:39  | TinhGamerVN1997 | /a
14:42:43  | TinhGamerVN1997 | /ah
14:43:12  | TinhGamerVN1997 | /gmc
14:43:47  | TinhGamerVN1997 | /setcoin t 99999
14:43:56  | TinhGamerVN1997 | /setcoin tinh 99999
14:44:40  | TinhGamerVN1997 | /slapper id
14:44:55  | TinhGamerVN1997 | /slapper remove 22
14:45:08  | TinhGamerVN1997 | /slapper spawn human §l§d✿ §eＣｈợ Đｅｎ §d✿
14:45:35  | TinhGamerVN1997 | /setcoin duy 25
14:45:37  | TigerVN5928 | /setlcoin 
14:45:47  | TinhGamerVN1997 | /setcoin dj 25
14:45:59  | TigerVN5928 | /setlcoin DJBOY5821 25
14:46:14  | TinhGamerVN1997 | /wp open
14:46:31  | TinhGamerVN1997 | /wp lock
14:46:44  | TinhGamerVN1997 | /wp opem
14:46:49  | TinhGamerVN1997 | /wp open
14:47:14  | TinhGamerVN1997 | /wp lock
14:47:26  | TinhGamerVN1997 | /seelcoin dj
14:48:02  | TigerVN5928 | /tp TinhGamerVN1997 TigerVN5928 
14:48:40  | TigerVN5928 | /is
14:50:30  | TinhGamerVN1997 | /tp dj
14:50:42  | TinhGamerVN1997 | /tp dj
14:51:17  | TigerVN5928 | /tp TinhGamerVN1997 TigerVN5928 
14:51:29  | TigerVN5928 | /gmc
14:52:32  | TigerVN5928 | /minion
14:52:38  | TigerVN5928 | /tp DJBOY5821 
14:52:51  | TinhGamerVN1997 | /tp d
14:53:20  | TinhGamerVN1997 | /supervanish
14:53:48  | TigerVN5928 | //set 3
14:53:51  | TinhGamerVN1997 | //cyl 2 50 1
14:54:24  | TigerVN5928 | //set 4
14:54:30  | TinhGamerVN1997 | /undo
14:54:35  | TinhGamerVN1997 | //undo
14:54:41  | TigerVN5928 | //set 100
14:55:05  | TigerVN5928 | //set 200
14:55:17  | TigerVN5928 | //set air
14:55:45  | TigerVN5928 | //set air
14:55:56  | TinhGamerVN1997 | //wnad
14:56:00  | TinhGamerVN1997 | //wand
14:56:15  | TinhGamerVN1997 | //set 0
14:56:43  | TinhGamerVN1997 | //set 1
14:56:44  | TigerVN5928 | //set air
14:56:54  | TinhGamerVN1997 | //pos 0
14:56:59  | TigerVN5928 | /is
14:57:24  | TigerVN5928 | /tp DJBOY5821 
14:57:34  | TinhGamerVN1997 | //set air
14:57:46  | TinhGamerVN1997 | //set air 
14:57:55  | TinhGamerVN1997 | //set 200
14:58:03  | TigerVN5928 | //set air
14:58:19  | TigerVN5928 | //set air
14:58:30  | TigerVN5928 | //set air
14:59:03  | TigerVN5928 | //set air
14:59:29  | TigerVN5928 | //set air
14:59:43  | TigerVN5928 | //set air
15:00:17  | TigerVN5928 | //set grass
15:00:46  | TigerVN5928 | //set grass
15:01:09  | TigerVN5928 | /gamemode s
15:02:49  | TigerVN5928 | //set tmt
15:03:05  | TigerVN5928 | //set tnt
15:03:34  | TigerVN5928 | //set torch
15:04:54  | TigerVN5928 | /minion
15:05:53  | DJBOY5821 | /gamerule commandblockoutput false 
15:06:05  | TigerVN5928 | /summon zombie
15:06:44  | DJBOY5821 | /hack
15:06:52  | DJBOY5821 | /hack
15:07:09  | DJBOY5821 | /ah
15:07:45  | TigerVN5928 | /gmc
15:07:51  | TigerVN5928 | /is
15:08:18  | DJBOY5821 | /shop
15:10:05  | TigerVN5928 | /nickname 
15:11:50  | TigerVN5928 | /setlcoin DJ
15:12:03  | TigerVN5928 | /setlcoin DJBOY5821 55
15:12:24  | TigerVN5928 | /v
15:12:43  | TigerVN5928 | /v
15:13:12  | TigerVN5928 | /vanish 1000
15:13:35  | TigerVN5928 | /vanish
15:13:49  | TigerVN5928 | /setlcoin DJBOY5821 60
15:14:14  | DJBOY5821 | /lcoin
15:14:25  | TigerVN5928 | /supervanish
15:14:33  | TigerVN5928 | /v
15:14:38  | TigerVN5928 | /supervanish
15:15:04  | TigerVN5928 | /lobby
15:15:15  | TigerVN5928 | /v
15:15:25  | TigerVN5928 | /supervanish
15:18:48  | TigerVN5928 | //copy
15:19:04  | TigerVN5928 | //paste
15:34:44  | KhaTN | /givexu KhaTN 99999999
15:36:05  | KhaTN | /setlcoin KhaTN 99999
15:39:19  | KhaTN | /nickname KhaTN Kha
15:39:59  | KhaTN_Kha | /nickname KhaConanシ
15:40:17  | KhaTN_Kha | /nickname KhaTN KhaConanシ
15:40:40  | KhaTN_Kha | /nickname KhaTN KhaConan
15:40:58  | KhaTN_Kha | /nickname KhaTN
15:44:45  | KhaTN | /clan create BiệtĐộiTamHợp✩
15:45:12  | KhaTN | /clan create BiệtĐộiTamHợp✔
15:46:26  | KhaTN | /clan help
15:47:43  | KhaTN | /clan create §4BiệtĐộiTamHợp
15:48:06  | KhaTN | /clan top
15:49:07  | KhaTN | /clan create MagicGod✇
15:49:32  | KhaTN | /is 
15:49:57  | KhaTN | //cyl 2 25 1
15:50:10  | KhaTN | /is
15:50:23  | KhaTN | /time set day 
17:23:31  | TinhGamerVN1997 | /give t 245
17:24:24  | TinhGamerVN1997 | /enchant t 15 50
17:24:31  | TinhGamerVN1997 | /enchant t 18 50
17:24:43  | TinhGamerVN1997 | /hub
17:24:52  | TinhGamerVN1997 | /slapper id
17:24:59  | TinhGamerVN1997 | /slapper remove 13
17:25:05  | TinhGamerVN1997 | /ah
17:25:13  | TinhGamerVN1997 | /slapper id
17:25:31  | TinhGamerVN1997 | /slapper edit 14 addc rca {player} ah
17:25:42  | TinhGamerVN1997 | /wp open
17:28:02  | TinhGamerVN1997 | /slapper spawn human §l§f Server sử dụng §aStonecutter (máy cắt đá) §flàm máy farm
17:28:19  | TinhGamerVN1997 | /slapper remove 51
17:29:05  | TinhGamerVN1997 | /slapper spawn human §l§fSV sử dụng stonecutter(mây cắt đá) lm máy farm
17:29:15  | TinhGamerVN1997 | /slapper edit 56 size 0
17:29:27  | TinhGamerVN1997 | /wp open
17:30:37  | TinhGamerVN1997 | /slapper spawn human §l§f Click nhận máy farm §eStonecutter
17:31:16  | TinhGamerVN1997 | /slapper edit 67 addc give {player} 245 1
17:32:55  | TinhGamerVN1997 | /minion 
17:32:59  | TinhGamerVN1997 | /minion
17:33:19  | TinhGamerVN1997 | /enchant t 15 50
17:33:28  | TinhGamerVN1997 | /enchant t 18 50
17:33:40  | TinhGamerVN1997 | /enchant t 15 50
17:33:46  | TinhGamerVN1997 | /enchant t 18 50
17:33:58  | TinhGamerVN1997 | /enchant 18 50
17:34:06  | TinhGamerVN1997 | /enchant t 18 50
17:34:12  | TinhGamerVN1997 | /enchant t 15 50
17:34:35  | TinhGamerVN1997 | /enchant t 15 50
17:34:52  | TinhGamerVN1997 | /enchant t 15 50
17:34:58  | TinhGamerVN1997 | /enchant t 18 50
17:37:43  | TinhGamerVN1997 | /clearinventory
17:40:55  | TinhGamerVN1997 | /time set 601
17:41:01  | TinhGamerVN1997 | /time stop
21:19:02  | TinhGamerVN1997 | /dungeon
21:19:23  | TinhGamerVN1997 | /cleari ventory
21:19:31  | TinhGamerVN1997 | /clearinventory
21:19:51  | TinhGamerVN1997 | /give t 245 1
21:20:27  | TinhGamerVN1997 | /core
21:20:35  | TinhGamerVN1997 | /bcp help
21:20:43  | TinhGamerVN1997 | /bcp menu
21:42:54  | TinhGamerVN1997 | /bank
21:43:08  | TinhGamerVN1997 | /bank
21:50:59  | TinhGamerVN1997 | /bank
21:51:06  | TinhGamerVN1997 | /bank
21:51:17  | TinhGamerVN1997 | /bank
21:51:27  | TinhGamerVN1997 | /bank
21:51:39  | TinhGamerVN1997 | /bank
21:54:07  | TinhGamerVN1997 | /ba
21:54:11  | TinhGamerVN1997 | /bank
21:54:24  | TinhGamerVN1997 | /bank
21:54:41  | TinhGamerVN1997 | /setmoney t 0
21:54:45  | TinhGamerVN1997 | /bank
21:54:53  | TinhGamerVN1997 | /bank
21:55:04  | TinhGamerVN1997 | /bank
21:59:37  | TinhGamerVN1997 | /slapper spawn human §l§eNgân hàng §r{line} §l§f•/bank để bật tính năng•
21:59:52  | TinhGamerVN1997 | /slapper edit 69 addc rca {player} bank
22:04:39  | TinhGamerVN1997 | /slapper spawn human §l§f•Blance Enquiry: Số tiền trong thẻ{line} §l§f•Deposit Money: Gửi tiền vào thẻ• {line} §l§f•Withdrw Money: Rút tieeền• {line} §l§f•Tranfer Money: Gửi tiền cho người khác•
22:04:52  | TinhGamerVN1997 | /slapper edit 70 size 0
22:05:16  | TinhGamerVN1997 | /slapper id
22:05:28  | TinhGamerVN1997 | /slapper remove 15
22:06:01  | TinhGamerVN1997 | /slapper spawn human §l§d✿ §eＣｈợ Đｅｎ §d✿ §r{line} §l§f•/ah để bật tính năng•
22:06:13  | TinhGamerVN1997 | /slapper edit 71 addc rca {player} ah
22:06:55  | TinhGamerVN1997 | /salpper id
22:07:01  | TinhGamerVN1997 | /slapper i
22:07:06  | TinhGamerVN1997 | /slapper id
22:07:25  | TinhGamerVN1997 | /slapper remove 60
22:07:55  | TinhGamerVN1997 | /slapper spawn human §l§c۞ §eＰＶＰ §c۞ §r{line} §l§f•/pvp để bật tính năng•
22:08:08  | TinhGamerVN1997 | /slapper edit 92 addc rca {player} pvp
22:08:13  | TinhGamerVN1997 | /slapper od
22:08:16  | TinhGamerVN1997 | /slapper id
22:09:05  | TinhGamerVN1997 | /slapper remove 59
22:09:30  | TinhGamerVN1997 | /slapper spawn human §l§d✿ §eＷｉｎｇｓ §d✿
22:09:36  | TinhGamerVN1997 | /slapper remove 93
22:10:01  | TinhGamerVN1997 | /slapper spawn human §l§d✿ §eＷｉｎｇｓ §d✿§r{line} §l§f•/wings để bật tính năng•
22:10:18  | TinhGamerVN1997 | /slapper edit 94 addc rca {player} wings
22:10:27  | TinhGamerVN1997 | /slapper id
22:10:33  | TinhGamerVN1997 | /slapper remove 10
22:11:12  | TinhGamerVN1997 | /slapper spawn human §l§d✿ §eＳｈｏｐ Ｌｃｏｉｎ §d✿ §r{line} §l§f•/lcoinshop để bật tính năng•
22:11:27  | TinhGamerVN1997 | /slapper edit 95 addc rca {player} lcoinshop
22:11:34  | TinhGamerVN1997 | /slapper id
22:11:46  | TinhGamerVN1997 | /slapper remove 11
22:12:26  | TinhGamerVN1997 | /slapper spawn human §l§d✿ §eＦＩＸ §d✿ §r{line} §l§f•/fix để bật tính năng•
22:12:38  | TinhGamerVN1997 | /slapper edit 96 addc rca {player} fix
22:12:54  | TinhGamerVN1997 | /slapper id
22:13:03  | TinhGamerVN1997 | /slapper remove 92
22:13:44  | TinhGamerVN1997 | /slapper remove 62
22:20:34  | KhaTN | /tp tinh
22:23:11  | KhaTN | /island
22:35:59  | KhaTN | /time set day
09:17:36  | TinhGamerVN1997 | //wand
09:17:49  | TinhGamerVN1997 | //set air
09:18:00  | TinhGamerVN1997 | //set stone
09:18:14  | TinhGamerVN1997 | //fill 514, 31, 502
09:24:09  | TinhGamerVN1997 | /kit
09:24:30  | TinhGamerVN1997 | /wp lock
09:24:57  | TinhGamerVN1997 | //set 0
09:25:06  | TinhGamerVN1997 | //cut
09:25:13  | TinhGamerVN1997 | //cut
09:25:18  | TinhGamerVN1997 | /cut
09:26:09  | TinhGamerVN1997 | /slapper spawm human §l§f Server mới lập nên mong mn ủng hộ {line} {line} §l§fSv có nhiều tính năng và tuyển sraff nha
09:27:09  | TinhGamerVN1997 | /slapper spawn human §l§fSV mới chạy lại nên mong mn ủng hộ {line} {line} §l§fSV có nhiều tính năng hấp dẫn {line} {line} mong mn ủng hộ SV
09:27:19  | TinhGamerVN1997 | /slapper edit 5179 size 0
09:27:54  | TinhGamerVN1997 | /kitgive
09:27:58  | TinhGamerVN1997 | /kit
09:28:20  | TinhGamerVN1997 | /tpall
09:28:37  | TinhGamerVN1997 | /pl
09:36:46  | TinhGamerVN1997 | /orespawner
09:37:07  | TinhGamerVN1997 | /orespawner diamonad 1 tịn
09:37:29  | TinhGamerVN1997 | /orespawner diamonad_ore 1 TinhGamerVN
09:37:50  | TinhGamerVN1997 | /orespawner ore 1 TinhGamerVN
09:38:05  | TinhGamerVN1997 | /orespawner diamonad_ore 1 TinhGamerVN
09:38:42  | TinhGamerVN1997 | /orespawner Diamonad Ore 1 TinhGamerVN
09:39:01  | TinhGamerVN1997 | /orespawner Diamonad 1 Tinh
09:39:13  | TinhGamerVN1997 | /orespawner ore 1 TinhGamerVN
09:42:43  | TinhGamerVN1997 | /orespawner diamonad 1 tinh
09:43:01  | TinhGamerVN1997 | /orespawner Diamonad 1 Tinh
09:44:50  | TinhGamerVN1997 | /orespawner Iron 1 Tinh
09:45:46  | TinhGamerVN1997 | /orespawner Diamond 1 Tinh
09:48:00  | TinhGamerVN1997 | /orespawner Gold 1 Tinh
09:48:24  | TinhGamerVN1997 | /orespawner Luly 1 Tinh
09:49:09  | TinhGamerVN1997 | /orespawner Lapis Lazuli 1 TinhGamerVN
09:49:21  | TinhGamerVN1997 | /orespawner LapisLazuli Tinh
09:50:28  | TinhGamerVN1997 | /clearinventory
10:31:28  | TinhGamerVN1997 | /hub
10:31:36  | TinhGamerVN1997 | /slapper id
10:31:49  | TinhGamerVN1997 | /slapper remove 16
10:31:54  | TinhGamerVN1997 | /slapper id
10:31:59  | TinhGamerVN1997 | /slapper remove 17
10:32:22  | TinhGamerVN1997 | /slapper spawn human §l§fClick nhận §bWater§a and §cLava
10:32:42  | TinhGamerVN1997 | /slapper edit 32 addc give {player} 11:0
10:32:57  | TinhGamerVN1997 | /slapper edit 32 addc give {player} 9:0 2
10:33:09  | TinhGamerVN1997 | /slapper remove 32
10:33:30  | TinhGamerVN1997 | /slapper spawn human §l§fClick nhận §bWater§a and §cLava
10:33:46  | TinhGamerVN1997 | /slapper edit 33 addc give {player} 11:0 2
10:34:01  | TinhGamerVN1997 | /slapper edit 33 addc give {player} 9:0 2
10:34:26  | TinhGamerVN1997 | /hub 
10:36:44  | TinhGamerVN1997 | /slapper spawn human §l§f Máy §aFarm §ecủa server
10:37:21  | TinhGamerVN1997 | /slapper edit 45 addc rca {player} warp mayfarm
10:39:43  | TinhGamerVN1997 | /clearinv
10:39:50  | TinhGamerVN1997 | /clearlag
10:41:16  | TinhGamerVN1997 | /minion
10:41:45  | TinhGamerVN1997 | /orespawner Diamond 1 Tinh
10:42:06  | TinhGamerVN1997 | /orespawner Iron
10:42:30  | TinhGamerVN1997 | /orespawner Gold 1 TinhGamerVN 
10:42:50  | TinhGamerVN1997 | /orespawner Coal 1 Tinh
10:43:20  | TinhGamerVN1997 | /orespawner Emerald 1 Tinh
10:43:55  | TinhGamerVN1997 | /orespawner Brick 1 Tinh
10:45:35  | TinhGamerVN1997 | /addwarp mayfarm
10:46:18  | TinhGamerVN1997 | /slapper spawn human §l§fMáy farm §acơ bản §dKhởi đầu
10:46:34  | TinhGamerVN1997 | /slapper edit 141 size 0
10:47:12  | TinhGamerVN1997 | /slapper spawn human §l§eMáy farm §dCao §bCấp 
10:47:24  | TinhGamerVN1997 | /slapper edit 142 size 0
